id,title,Carrera UGM,UGM
1297,Ingeniería Civil en Computación e Informática,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1298,Ingeniería Civil Industrial,,
1299,Ingeniería Civil Industrial - Temuco,,
1300,Ingeniería Comercial (Manuel Montt),INGENIERIA COMERCIAL DIURNO,ICOMSG1
1301,Ingeniería Comercial (Oriente),INGENIERIA COMERCIAL DIURNO,ICOMSG1
1302,Ingeniería en Administración,,
1303,Ingeniería en Construcción - Temuco,,
1304,Ingeniería Forestal,,
1305,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1306,Kinesiología - Temuco,KINESIOLOGIA DIURNO,KINESG1
1307,Medicina,,
1308,Medicina - Temuco,,
1309,Medicina Veterinaria,,
1310,Medicina Veterinaria - Temuco,,
1311,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1312,Nutrición y Dietética - Temuco,NUTRICION Y DIETETICA DIURNO,NUDISG1
1313,Obstetricia y Puericultura,,
1314,Obstetricia y Puericultura - Temuco,,
1315,Odontología,,
1316,Odontología - Temuco,,
1317,Pedagogía en Artes Musicales para Educación Básica y Media,,
1318,Pedagogía en Educación Diferencial con mención en Discapacidades Intelectual y Múltiples,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1319,Pedagogía en Educación Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1320,Pedagogía en Educación Parvularia y Básica para Primer Ciclo,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1321,Pedagogía en Inglés para Educación Básica y Media,,
1322,Periodismo,,
1323,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1324,Psicología - Temuco,PSICOLOGÍA DIURNO,PSICSG1
1325,Psicopedagogía,,
1326,Teatro,,
1327,Tecnología Médica,,
1328,Tecnología Médica - Temuco,,
1329,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1330,Terapia Ocupacional - Temuco,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1331,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1332,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1333,Lic. en Educ. con mención en Alemán y Pedagogía en Alemán,,
1334,Lic. en Educ. con mención en Castellano y Pedagogía en Castellano,,
1335,Lic. en Educ. con mención en Francés y Pedagogía en Francés,,
1336,Lic. en Educ. con mención en Hist. o Geo. y Ped. en Hist.,,
1337,Lic. en Educ. con mención en Inglés y Pedagogía en Inglés,,
1338,Lic. en Educ. en Biología y Pedagogía en Biología (con menciones),,
1339,Lic. en Educ. en Física y Pedagogía en Física (con menciones),,
1340,Lic. en Educ. Física y Ped. en Educ. Física Deportes y Recreación (damas),PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1341,Lic. en Educ. Física y Ped. en Educ. Física Deportes y Recreación (varones),PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1342,Lic. en Educ. Matemática y Pedagogía en Matemática (con menciones),,
1343,Lic. en Educ. Química y Pedagogía en Química (con menciones),,
1344,Lic. en Educ. y Ped. en Educ. Diferencial en Problemas de Aprendizaje,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1345,Lic. en Educ. y Ped. en Educ. Diferencial en Trastornos de Audición y Lenguaje,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1346,Lic. en Educ. y Ped. en Educ. Diferencial Especialidad en Problemas de la Visión,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1347,Lic. en Educ. y Ped. en Educ. Diferencial Especialidad Retardo Mental,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1348,Lic. en Educ. y Ped. en Educación Básica (con menciones),,
1349,Lic. en Educ. y Ped. en Educación Parvularia (con menciones),PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1350,Lic. en Educ. y Ped. en Filosofía,,
1351,Lic. en Educ. y Pedagogía en Artes Visuales,,
1352,Lic. en Educación y Pedagogía en Música,,
1353,Lic. en Música y Dirección de Agrupaciones Musicales Instrumentales,,
1354,Arquitectura,,
1355,Artes Visuales,,
1356,Auditoría,,
1357,Ciencias de la Familia,,
1358,Derecho,DERECHO DIURNO,DERESG1
